Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,28.4,74,,10.5,2,S 
02-11-2023,28.9,76,,8,2,SW
03-11-2023,28.5,81,0,10,2,S 
04-11-2023,28.3,78,8888,6.5,2,C 
05-11-2023,28.6,75,0,9,1,C 
06-11-2023,28.5,73,,10,2,SW
07-11-2023,28.6,72,0,10.3,2,S 
08-11-2023,28.8,73,0,10.5,2,S 
09-11-2023,28.8,71,0,11,2,SW
10-11-2023,28.4,74,0,10,2,C 
11-11-2023,28.9,73,0,8,2,S 
12-11-2023,28.8,73,,9.4,2,SW
13-11-2023,29.3,74,0,9.5,2,C 
14-11-2023,28.6,79,21.2,9.9,1,C 
15-11-2023,28.4,80,8888,7.2,2,SW
16-11-2023,28.2,80,,5.5,3,SE
17-11-2023,28.1,78,9.8,9,2,S 
18-11-2023,28.2,75,,8.8,3,SW
19-11-2023,28.4,74,0,9,2,SW
20-11-2023,28.7,75,0,6.5,3,S 
21-11-2023,28.9,76,,9.4,3,S 
22-11-2023,29.3,77,,6.2,3,S 
23-11-2023,29.3,75,,8.2,2,C 
24-11-2023,28.5,80,17.2,9,2,S 
25-11-2023,28.6,75,,6.1,2,S 
26-11-2023,27.8,78,,6.1,3,SW
27-11-2023,28.2,74,,8.2,2,C 
28-11-2023,28.1,75,,8,2,S 
29-11-2023,27.9,78,,4,2,S 
30-11-2023,28.1,80,,6.8,2,S 
01-12-2023,27.5,83,0.2,5.3,2,SW
02-12-2023,27.6,73,1.6,5.2,2,S 
03-12-2023,28.2,75,,7.2,2,S 
04-12-2023,28.3,76,0,5.5,2,S 
05-12-2023,28.2,74,0,5.5,2,C 
06-12-2023,28.8,72,0.4,8,2,S 
07-12-2023,29.1,75,,9,2,S 
08-12-2023,28.8,73,0,9.5,2,SW
09-12-2023,29.1,74,,8.4,2,SW
10-12-2023,28.8,74,0,7.2,2,SW
11-12-2023,28.5,66,,8,2,S 
12-12-2023,29.3,68,,11,2,SW
13-12-2023,29.3,72,0,9,1,C 
14-12-2023,29,73,0,6,2,C 
15-12-2023,26.8,82,0,8.7,2,C 
16-12-2023,28.5,75,0,2.3,3,SW
17-12-2023,28.1,72,0,8.7,2,SW
18-12-2023,28,68,0,8.4,3,S 
19-12-2023,28.1,63,0,10.3,3,S 
20-12-2023,27.7,66,,10.8,3,S 
21-12-2023,29,66,0,8.9,3,S 
22-12-2023,28.6,66,0,0,2,SW
23-12-2023,28.7,67,0,11.1,3,S 
24-12-2023,29.6,69,0,9,1,SE
25-12-2023,28.1,76,,11.2,2,C 
26-12-2023,29.5,72,8888,4.8,2,SW
27-12-2023,29.2,73,0,8.9,2,C 
28-12-2023,29.5,77,8888,9,2,SW
29-12-2023,29.3,78,8888,9,2,SW
30-12-2023,29.7,75,2.6,8.5,3,S 
31-12-2023,28.9,79,4.8,9.2,2,S 
01-01-2024,29.1,78,0,4,2,W 
02-01-2024,30.3,72,8888,6.8,2,SE
03-01-2024,29.3,74,8888,10.3,2,W 
04-01-2024,29.3,74,0,3.4,1,C 
05-01-2024,27.8,81,8888,6.8,1,C 
06-01-2024,27.3,82,3.2,2.9,1,C 
07-01-2024,28.3,75,0.6,0,1,C 
08-01-2024,29.2,73,0.2,4.2,1,C 
09-01-2024,29.7,68,,8,2,W 
10-01-2024,30.1,69,0,7.4,2,C 
11-01-2024,29,74,,8,2,C 
12-01-2024,29.2,65,,8.6,2,C 
13-01-2024,29.6,61,,8.5,3,SW
14-01-2024,29.5,69,,11.2,1,C 
15-01-2024,28.6,74,0,6.5,2,C 
16-01-2024,28.6,74,8888,1,2,NW
17-01-2024,28.2,74,0,6,2,C 
18-01-2024,29.2,72,8888,6.2,2,C 
19-01-2024,28.3,74,0.4,5.1,1,C 
20-01-2024,30.2,60,0,1.1,4,SW
21-01-2024,30.9,58,0,7,4,W 
22-01-2024,28.6,73,0,10.5,2,NE
23-01-2024,29.1,68,15.2,6,3,NW
24-01-2024,29,69,0,4,2,C 
25-01-2024,28.9,72,,8.5,1,C 
26-01-2024,27.6,82,0,5,2,C 
27-01-2024,27.3,84,30.6,6.4,1,C 
28-01-2024,26.9,85,17.2,4.5,1,C 
29-01-2024,27.4,80,11.4,4.5,1,C 
30-01-2024,28.2,78,3.2,,1,C 
31-01-2024,26.5,84,8888,6.3,2,NW
01-02-2024,27.1,83,78.8,5,2,W 
02-02-2024,28.2,78,14.4,6.1,1,C 
03-02-2024,25.8,90,0.2,6,2,C 
04-02-2024,27.5,84,93.3,2.1,1,C 
05-02-2024,28.1,79,9,5.1,2,C 
06-02-2024,28.4,76,,4.5,1,C 
07-02-2024,27.9,76,0,5.5,2,NE
08-02-2024,27.4,81,0,5,1,C 
09-02-2024,27.5,80,6.8,4.8,2,C 
10-02-2024,27.1,82,16.2,7.5,1,C 
11-02-2024,27.8,79,1.4,3,2,C 
12-02-2024,27.8,80,0.6,4.8,2,NW
13-02-2024,28.6,76,0.4,4.8,2,C 
14-02-2024,28.4,81,0,6.3,2,C 
15-02-2024,29.2,74,,,2,E 
16-02-2024,29.6,74,0,7.1,2,SE
17-02-2024,28,81,0,9.4,2,C 
18-02-2024,28.5,76,3,7.6,1,C 
19-02-2024,29.4,75,,4.4,2,C 
20-02-2024,29.6,76,0,8.3,3,NE
21-02-2024,29.8,75,0,7.5,1,NW
22-02-2024,29.5,77,0,8.6,2,C 
23-02-2024,28.2,83,,7,2,C 
24-02-2024,26.9,86,5,4.5,2,NW
25-02-2024,28,80,12.2,4,1,C 
26-02-2024,26.2,88,0.6,9.1,2,C 
27-02-2024,28.6,77,23.8,3.5,2,E 
28-02-2024,28,81,,6.7,2,C 
29-02-2024,28.8,78,6.8,,1,N 
01-03-2024,27.4,86,0,6,1,C 
02-03-2024,28.4,83,45.6,5.3,1,C 
03-03-2024,27.2,86,1,3,1,C 
04-03-2024,27.7,84,10.8,3,1,C 
05-03-2024,28.6,80,18.8,6.2,2,NW
06-03-2024,28.8,82,8888,5.9,2,C 
07-03-2024,28.4,86,13,7.5,2,NE
08-03-2024,27.8,87,16.4,1.5,2,C 
09-03-2024,27.7,86,42,5,2,NE
10-03-2024,27.4,82,6.6,1.5,1,NW
11-03-2024,27.4,87,0.2,0,0,C 
12-03-2024,27.7,84,8888,0,2,C 
13-03-2024,28.3,80,8888,2,2,C 
14-03-2024,27,86,12.2,4.8,1,E 
15-03-2024,27.8,85,24.8,1.3,1,C 
16-03-2024,28.1,82,12.6,1.9,2,NE
17-03-2024,27.9,84,,2.8,2,C 
18-03-2024,27.7,82,9,8.8,1,C 
19-03-2024,28.6,76,0.4,3,2,C 
20-03-2024,28.4,77,0,8,2,N 
21-03-2024,28.2,82,,3.5,2,C 
22-03-2024,28,81,32.4,6.5,2,W 
23-03-2024,28.4,78,2.4,7.1,2,S 
24-03-2024,28.8,74,19.4,10.3,2,W 
25-03-2024,27.9,80,,,1,C 
26-03-2024,28.4,71,20,4.7,2,S 
27-03-2024,28.5,74,,8.2,2,W 
28-03-2024,27.9,82,,5.4,2,C 
29-03-2024,28.9,76,7.6,6.5,2,SE
30-03-2024,29,76,,6.8,2,C 
31-03-2024,28.2,82,8888,9,2,SW
01-04-2024,27.9,85,24.8,9.5,2,W 
02-04-2024,28.6,81,2.4,3.2,1,C 
03-04-2024,29.2,76,0.2,5.5,1,SW
04-04-2024,27.8,79,,9.1,1,SW
05-04-2024,30,70,,1.6,2,S 
06-04-2024,28.6,73,,8,2,NW
07-04-2024,28.5,80,,7,2,C 
08-04-2024,29,79,34.4,7.6,1,C 
09-04-2024,27.1,86,0,3.5,2,C 
10-04-2024,27.5,85,27.8,2,2,C 
11-04-2024,28.2,80,,5,2,C 
12-04-2024,28.7,80,1.8,9.5,2,C 
13-04-2024,29.2,79,0,5,2,S 
14-04-2024,29.1,78,0,9,2,S 
15-04-2024,29,76,0,10.1,2,S 
16-04-2024,28.4,82,,9.9,1,C 
17-04-2024,27.4,87,0.6,4.5,2,S 
18-04-2024,27.9,86,1.2,1.5,2,S 
19-04-2024,29.1,81,9.2,4.7,2,S 
20-04-2024,28.9,83,,8.2,2,W 
21-04-2024,28.5,80,1.8,7.9,2,C 
22-04-2024,27.9,85,2,6.9,2,SW
23-04-2024,28,86,18.4,3.5,1,C 
24-04-2024,28.2,84,0.6,2,1,C 
25-04-2024,27.6,86,0.8,4,2,C 
26-04-2024,28.7,83,2.8,2,2,NE
27-04-2024,28.9,82,0,7.2,2,SW
28-04-2024,28.7,84,,8.2,3,S 
29-04-2024,27.8,84,,7.4,2,SW
30-04-2024,28.1,83,8888,6.5,1,C 
