Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,29.8,76,0,10.4,3,E 
02-11-2023,30.3,77,0,7.9,2,E 
03-11-2023,29.3,83,0,10.1,2,E 
04-11-2023,29.9,78,4.9,9.1,3,E 
05-11-2023,29.6,77,2.2,10.7,2,E 
06-11-2023,29.8,78,0,11,2,E 
07-11-2023,29.3,78,,11.2,2,E 
08-11-2023,28.9,76,0,10.6,1,N 
09-11-2023,29.3,77,0,10.5,1,C 
10-11-2023,29.4,79,0,8.2,1,S 
11-11-2023,29.7,78,0,7.9,0,C 
12-11-2023,30,78,0,11,2,E 
13-11-2023,29.8,79,0.5,6.7,1,C 
14-11-2023,30.3,78,0,8.7,2,E 
15-11-2023,29.9,81,6.6,10.6,1,E 
16-11-2023,29.7,80,3.4,8.5,2,NE
17-11-2023,28.9,81,8888,7.6,1,SW
18-11-2023,29.5,80,1.2,4.4,1,C 
19-11-2023,29.5,77,2.5,3.5,1,C 
20-11-2023,31,74,0,10.1,2,E 
21-11-2023,31.1,75,8888,10.7,3,E 
22-11-2023,31.1,77,0.1,10.8,4,E 
23-11-2023,29.3,81,1,8.1,2,NE
24-11-2023,27.8,87,2.1,0.4,2,C 
25-11-2023,26.7,91,55.2,4.8,1,W 
26-11-2023,29.3,80,15.6,2,1,C 
27-11-2023,28.3,85,0,9.5,1,C 
28-11-2023,26.2,93,32.7,5.2,0,C 
29-11-2023,29.3,81,9.3,0,1,C 
30-11-2023,29,85,0,6.6,2,E 
01-12-2023,28,86,9.7,6.3,1,C 
02-12-2023,28.7,85,1.5,0.2,1,C 
03-12-2023,28.6,85,0.1,2.9,1,E 
04-12-2023,27.5,88,24.1,5.9,1,C 
05-12-2023,27.5,88,9.8,4.1,0,C 
06-12-2023,29.2,82,0,2.8,2,SW
07-12-2023,29.5,81,8888,9.5,1,SW
08-12-2023,29.5,82,0,4.8,2,SW
09-12-2023,28.8,82,8888,7.9,1,NE
10-12-2023,28,84,0,3.3,1,C 
11-12-2023,29.6,80,0,0.3,1,C 
12-12-2023,29.2,79,0.2,8.1,1,C 
13-12-2023,29.6,81,0,9.5,1,C 
14-12-2023,28.8,83,0,9.9,1,C 
15-12-2023,29.3,77,0,1.3,2,N 
16-12-2023,29,82,0,5.8,1,SW
17-12-2023,29.7,77,,5.6,2,SW
18-12-2023,29,80,0,7.8,1,S 
19-12-2023,28.7,73,0,9,1,C 
20-12-2023,28.7,72,0,3.9,1,C 
21-12-2023,29,78,,8.7,1,C 
22-12-2023,29.4,78,0,8.5,1,C 
23-12-2023,29.5,80,3,10.4,1,C 
24-12-2023,29.5,80,8888,9.4,1,C 
25-12-2023,28.2,83,0,8.8,1,C 
26-12-2023,29.2,83,0,0,1,C 
27-12-2023,29.3,82,14.7,5.5,1,C 
28-12-2023,29.9,80,0,8.8,1,C 
29-12-2023,30.5,80,,10.3,1,C 
30-12-2023,29.9,83,2.3,10.3,1,C 
31-12-2023,30.2,80,0.4,8.3,1,C 
01-01-2024,29.2,83,0,7.1,1,C 
02-01-2024,30.2,80,0,1.8,1,C 
03-01-2024,27.8,87,1.2,8.7,1,W 
04-01-2024,28.1,86,1.2,1.9,1,C 
05-01-2024,28.4,85,8.5,4.8,1,C 
06-01-2024,28.6,86,0.1,3,1,C 
07-01-2024,26.3,93,21.8,6,1,C 
08-01-2024,28.2,87,27.2,0.7,2,SW
09-01-2024,28.7,85,0.2,3.3,1,C 
10-01-2024,29.3,83,0.7,6.7,2,W 
11-01-2024,29,83,0.4,6.2,2,W 
12-01-2024,29.9,79,1,3.1,3,W 
13-01-2024,29.4,80,0,6.8,2,NW
14-01-2024,29,82,58.8,5.3,2,W 
15-01-2024,28,87,8,0.7,2,NW
16-01-2024,27.5,90,8.5,0.9,1,C 
17-01-2024,26.5,94,11.5,0,1,C 
18-01-2024,26.9,92,69.1,0,2,W 
19-01-2024,26.7,93,61.7,2.4,2,W 
20-01-2024,28.3,87,65.8,0.8,2,W 
21-01-2024,27.3,89,25,0.4,3,W 
22-01-2024,26.5,91,23,0,3,NW
23-01-2024,26.6,92,60.9,0,3,W 
24-01-2024,28.5,86,14.6,0,3,W 
25-01-2024,28.6,85,8.8,1,3,NW
26-01-2024,28.7,85,,1.1,2,NW
27-01-2024,28.8,83,5.7,4.7,2,W 
28-01-2024,28.4,88,0.9,8.6,1,C 
29-01-2024,28.1,87,5.6,6.7,2,W 
30-01-2024,28.8,84,13.2,6.1,2,NW
31-01-2024,27.2,90,2.8,4,2,W 
01-02-2024,28.5,86,76.4,0.8,2,W 
02-02-2024,26.6,93,15.5,4.1,2,NW
03-02-2024,27.6,88,94.5,0,3,W 
04-02-2024,26.4,92,3.1,0.4,3,W 
05-02-2024,27.7,89,70.1,0,2,W 
06-02-2024,28,86,7.7,0.5,3,W 
07-02-2024,28.1,87,13.1,3.7,2,NW
08-02-2024,27.5,89,0.8,1.2,1,C 
09-02-2024,28.9,85,3.1,3,1,C 
10-02-2024,26.9,92,8888,7.1,3,NW
11-02-2024,27.2,89,16.4,0.8,3,W 
12-02-2024,28.9,83,7,0,3,W 
13-02-2024,28.9,83,0,9.3,2,C 
14-02-2024,29,82,0,9.2,1,C 
15-02-2024,29.1,83,0,8.1,0,C 
16-02-2024,29.3,85,0.2,9.5,1,C 
17-02-2024,28.6,83,8888,8.1,2,W 
18-02-2024,28.9,84,8888,4.8,2,C 
19-02-2024,27.7,91,,8.8,1,C 
20-02-2024,29.1,85,96.7,5.1,1,W 
21-02-2024,29,85,20.4,8.9,2,W 
22-02-2024,29.4,84,30,6.8,3,W 
23-02-2024,28.8,87,8888,8.6,2,W 
24-02-2024,27.9,90,6.9,4.8,2,W 
25-02-2024,26.5,90,48.9,2.3,2,W 
26-02-2024,26.6,91,26.5,0,1,C 
27-02-2024,28.7,86,23.7,0.6,1,N 
28-02-2024,28.3,86,0,7.3,1,N 
29-02-2024,28.5,88,0.1,5.1,0,C 
01-03-2024,28.8,83,3.3,5.9,2,C 
02-03-2024,29,84,1.2,8.3,3,NW
03-03-2024,29,86,0,8.9,2,W 
