Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,30.6,70,0,9.8,2,C 
02-11-2023,30.9,67,0,8.5,2,E 
03-11-2023,30.6,74,,10.3,2,C 
04-11-2023,29.8,75,0,7.2,2,E 
05-11-2023,30.4,76,0.8,4.6,2,E 
06-11-2023,30.7,70,0,8.9,2,E 
07-11-2023,30.4,68,0,9,1,C 
08-11-2023,31.1,66,0,9.5,1,C 
09-11-2023,31.1,69,0,10.2,1,C 
10-11-2023,30.5,75,0,7.9,1,C 
11-11-2023,30.7,75,,6.2,2,E 
12-11-2023,30.2,73,0,9.1,2,C 
13-11-2023,31.2,69,0,7.5,1,C 
14-11-2023,30.9,73,0,10.2,2,E 
15-11-2023,31.1,70,0,7,2,E 
16-11-2023,31,69,0,8,2,E 
17-11-2023,30.3,75,0,7.7,1,C 
18-11-2023,30.5,66,0.1,2.8,2,C 
19-11-2023,31,64,0,6.6,2,C 
20-11-2023,31.5,66,0,10.3,2,E 
21-11-2023,30.9,71,,10.7,2,C 
22-11-2023,31.5,69,0,10.5,3,E 
23-11-2023,31,70,0,9.4,2,C 
24-11-2023,29.7,77,,6.5,1,C 
25-11-2023,28.7,77,0,7.5,2,C 
26-11-2023,29.6,74,0,0.4,2,C 
27-11-2023,28.9,78,2.7,8.2,1,C 
28-11-2023,27.5,85,0.2,4,2,W 
29-11-2023,30,76,8.5,0,2,E 
30-11-2023,29.7,78,1.5,0,1,C 
01-12-2023,27.5,85,1.7,7.1,2,C 
02-12-2023,28.9,80,8888,2.6,2,C 
03-12-2023,30,74,0,2,2,C 
04-12-2023,29.7,75,,6,2,C 
05-12-2023,29.9,76,8888,1.3,2,W 
06-12-2023,29.6,79,0,7,2,C 
07-12-2023,28.8,78,4.1,7.2,1,C 
08-12-2023,29,84,22.3,8.4,1,C 
09-12-2023,28.3,87,6,7,2,SE
10-12-2023,28.3,83,41.5,2.1,2,C 
11-12-2023,29.6,76,2,0.8,2,C 
12-12-2023,30.5,75,8888,6.2,2,C 
13-12-2023,28.3,85,0,8.8,2,C 
14-12-2023,29,83,70.6,3.7,2,C 
15-12-2023,27.8,86,2.5,3.8,1,C 
16-12-2023,29.8,79,41,5.8,1,C 
17-12-2023,30.3,74,0.5,8.2,2,C 
18-12-2023,29.9,72,0,9,3,E 
19-12-2023,29.5,69,0,8.8,3,E 
20-12-2023,29.6,68,0,8,2,C 
21-12-2023,30.1,72,,8,0,C 
22-12-2023,30,77,0,9.4,0,C 
23-12-2023,30.6,72,0,7,0,C 
24-12-2023,30.5,74,0,10,2,C 
25-12-2023,27.6,87,0,10.2,1,C 
26-12-2023,29.5,77,5.5,1.2,2,SW
27-12-2023,30.2,77,,8,2,E 
28-12-2023,30.4,78,,6.5,2,C 
29-12-2023,30.2,79,,8.1,2,NE
30-12-2023,29.9,81,24.8,8.7,2,SW
31-12-2023,30,80,8888,8,2,C 
01-01-2024,29.9,83,3.8,6.5,1,C 
02-01-2024,30.6,78,21.2,6.7,2,C 
03-01-2024,27.8,90,0,8.9,1,C 
04-01-2024,29,82,1.5,1.9,2,W 
05-01-2024,28.8,83,2.2,6,2,W 
06-01-2024,28,87,0,3.8,1,C 
07-01-2024,27.7,88,2.1,2,1,C 
08-01-2024,27,91,8888,0,2,SW
09-01-2024,27.7,89,78.1,0.6,2,SW
10-01-2024,28.7,86,26.5,4.5,2,NW
11-01-2024,28.5,83,3.3,5,1,C 
12-01-2024,30.1,71,5.1,7.5,2,S 
13-01-2024,30.6,70,0,8.5,3,E 
14-01-2024,30.3,71,0,9.8,2,C 
15-01-2024,27.7,85,,4.3,2,C 
16-01-2024,28.9,81,18.3,0,2,C 
17-01-2024,26.4,91,17.2,4,2,C 
18-01-2024,27.2,88,23.6,0,2,SW
19-01-2024,26.6,88,0,3.1,2,W 
20-01-2024,29.3,75,36.3,1.6,2,C 
21-01-2024,29.4,74,8888,4.5,2,W 
22-01-2024,28.6,78,0,8.8,3,W 
23-01-2024,29.2,77,1.5,8.4,2,W 
24-01-2024,27.8,82,,0.5,3,W 
25-01-2024,28,81,5.5,4.5,3,SW
26-01-2024,28.3,81,4.3,7.6,3,W 
27-01-2024,28.9,78,0,6.5,3,W 
28-01-2024,28.5,81,0,6.1,2,C 
29-01-2024,27,90,1,6.5,1,C 
30-01-2024,27.1,90,73,1.3,2,C 
31-01-2024,26.9,87,34,5.2,2,W 
01-02-2024,27.2,88,27.2,4.5,2,SW
02-02-2024,28.3,82,24,6.4,2,W 
03-02-2024,27.9,83,0,7.3,3,W 
04-02-2024,27.4,84,5,3,3,SW
05-02-2024,27.4,82,16.6,4.5,3,W 
06-02-2024,27.1,86,60.3,5,2,W 
07-02-2024,27.7,84,33.8,6,2,W 
08-02-2024,28,82,0,0,2,SW
09-02-2024,28.7,81,0.3,7,2,NE
10-02-2024,27.1,88,7.8,7.9,2,SW
11-02-2024,26.2,90,0.2,0.3,2,C 
12-02-2024,27.9,85,84.5,3,2,SW
13-02-2024,29.5,79,19.2,7.3,2,E 
14-02-2024,29,86,0.8,7.3,1,C 
15-02-2024,29.3,82,0.5,0.2,2,SW
16-02-2024,29.2,81,0.1,5.9,2,C 
17-02-2024,28,85,0,8,2,SW
18-02-2024,28.1,83,40,7,2,W 
19-02-2024,29.4,82,,4,2,NW
20-02-2024,29.4,80,17.9,8.5,2,SW
21-02-2024,28.4,87,8888,4.8,2,C 
22-02-2024,29,82,26,5.2,2,W 
23-02-2024,29.2,83,12.5,8.7,2,W 
24-02-2024,28.6,82,,4,2,W 
25-02-2024,27.8,82,8888,2,3,W 
26-02-2024,27.4,85,0.4,3.3,2,SW
27-02-2024,28.9,81,69,6.5,2,SW
28-02-2024,28.8,84,0,6,1,E 
29-02-2024,29.4,82,8888,2,2,C 
01-03-2024,27.9,86,4,3.8,2,SW
02-03-2024,28.8,82,10.8,5.6,3,W 
03-03-2024,28.5,84,1,4.5,3,SW
04-03-2024,28.7,85,0.5,5,2,C 
05-03-2024,28.9,85,8888,5.5,2,C 
06-03-2024,30.2,78,8888,6.1,2,W 
07-03-2024,28.9,85,14.5,7.8,2,W 
08-03-2024,29,83,2.8,1.6,2,W 
09-03-2024,25.9,91,21.6,7.8,4,W 
10-03-2024,27.9,81,14.7,0.4,2,W 
11-03-2024,28.7,87,,0.6,3,W 
12-03-2024,27.3,92,4.2,0,2,W 
13-03-2024,26.8,92,0.1,0,3,W 
14-03-2024,26.6,90,21.2,,3,W 
15-03-2024,27.6,88,18,0.6,4,W 
16-03-2024,28.7,84,5.7,3.2,4,W 
17-03-2024,28.2,83,0,7.3,4,W 
18-03-2024,28.5,79,0.5,5.8,3,W 
19-03-2024,29.4,77,,5.5,2,W 
20-03-2024,29.6,78,4,9.2,2,W 
21-03-2024,29.4,76,0,4.8,3,W 
22-03-2024,29.8,78,0,8.1,2,E 
23-03-2024,30.2,77,0,7.4,2,NE
24-03-2024,29.6,79,0,9.4,2,E 
25-03-2024,29.5,81,0,8,2,NE
26-03-2024,29.6,76,0.5,6,2,NE
27-03-2024,30.6,69,0,8.4,2,E 
28-03-2024,28.1,85,0,9,2,C 
29-03-2024,29.6,79,1.5,1.1,2,E 
30-03-2024,30.5,76,0,7.4,2,E 
31-03-2024,30.5,78,,8,2,E 
01-04-2024,28.7,83,,7.7,2,SW
02-04-2024,30,79,0.5,3.6,2,E 
03-04-2024,30.4,76,0,6.7,2,W 
04-04-2024,29.4,81,0.5,8,2,C 
05-04-2024,30.1,80,79.5,7.1,2,NE
06-04-2024,29.9,78,78.5,4.7,2,E 
07-04-2024,28.8,84,,7.5,2,SE
08-04-2024,28.1,89,50.3,7,1,C 
09-04-2024,27.4,90,7.9,0,1,C 
10-04-2024,28.6,86,26.5,0.2,1,E 
11-04-2024,27.8,87,3,3,2,NE
12-04-2024,29,82,1,1.9,2,C 
13-04-2024,29.3,84,1.7,8.6,1,C 
14-04-2024,29.5,82,15,8,1,C 
15-04-2024,29.2,84,19.5,7.8,2,C 
16-04-2024,30,78,12,7.1,2,E 
17-04-2024,28.7,83,0,7.2,2,E 
18-04-2024,29.5,78,0,5,2,E 
19-04-2024,29.9,80,3,9.8,2,E 
20-04-2024,30.1,76,0,7.8,3,E 
21-04-2024,28.3,86,28,10,2,SW
22-04-2024,29.4,80,1.5,5.6,2,E 
23-04-2024,28.5,87,5.3,4.5,2,W 
24-04-2024,28.4,89,2.5,4.5,2,E 
25-04-2024,26.4,96,4.5,0,1,C 
26-04-2024,29.6,82,11.3,0,3,E 
27-04-2024,30.5,77,2,4.6,3,E 
28-04-2024,30.2,78,,8.7,3,E 
29-04-2024,30.1,78,,8.7,2,E 
30-04-2024,30,75,,6.5,3,E 
