Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,31.3,64,0,9.1,2,SE
02-11-2023,31.5,63,0,8.2,3,SE
03-11-2023,30.7,69,8888,9,3,SE
04-11-2023,29.2,77,0,5.5,2,SE
05-11-2023,30.2,73,13.9,4.8,2,SE
06-11-2023,31,66,,6.8,3,SE
07-11-2023,31,65,0,9,3,E 
08-11-2023,31,65,0,7.6,2,N 
09-11-2023,31,70,0,8.8,2,N 
10-11-2023,30.9,71,9.5,7.3,2,N 
11-11-2023,31.1,67,0,6,4,E 
12-11-2023,30.7,68,0,8.7,4,SE
13-11-2023,31.6,66,,7.5,2,SE
14-11-2023,31.2,69,0,9.4,2,SE
15-11-2023,31.7,67,0.8,7,2,E 
16-11-2023,30.8,69,0,8,2,NW
17-11-2023,30.6,73,23,6.9,2,NW
18-11-2023,31.1,64,0,3.1,2,N 
19-11-2023,31.5,60,0,6.2,3,SE
20-11-2023,31.9,62,0,9.2,3,E 
21-11-2023,31.4,67,,9.2,3,SE
22-11-2023,32.4,64,0,9.2,4,SE
23-11-2023,31.6,63,0,9,3,SE
24-11-2023,29.9,73,0,7.1,2,SE
25-11-2023,29.4,74,0,3.3,2,N 
26-11-2023,30.6,68,0,2,2,S 
27-11-2023,29.6,77,0,9,3,E 
28-11-2023,28,83,18.5,4.5,2,SE
29-11-2023,29.6,78,33.5,0.8,2,E 
30-11-2023,29.9,74,8888,4.8,2,SE
01-12-2023,28.4,80,0.7,5.9,2,NW
02-12-2023,29.3,76,4.4,2.7,2,E 
03-12-2023,29.4,76,8888,2.7,2,SE
04-12-2023,29.6,74,6.2,6.2,1,C 
05-12-2023,30.3,72,8888,1.2,2,N 
06-12-2023,30.6,72,0,7.4,2,N 
07-12-2023,29.8,72,0,7.1,3,N 
08-12-2023,29.5,77,18.5,9.2,2,NW
09-12-2023,29.9,75,8888,5.2,2,N 
10-12-2023,28.7,80,,1.8,1,C 
11-12-2023,30.5,69,20,1.5,2,N 
12-12-2023,31.1,69,0,8.6,3,N 
13-12-2023,30.2,73,0,9,2,S 
14-12-2023,29.8,76,0,5.2,2,SE
15-12-2023,29.4,75,20.2,2.1,2,S 
16-12-2023,31.3,67,0.4,6.2,2,NW
17-12-2023,30.6,69,0,9.3,3,SE
18-12-2023,30.6,66,8888,8.8,2,SE
19-12-2023,30.8,62,0,6.6,2,NW
20-12-2023,30.5,61,0,7.7,2,SE
21-12-2023,31.1,65,0,9.3,2,N 
22-12-2023,31,68,0,8.8,2,W 
23-12-2023,31,68,0,7.7,2,NE
24-12-2023,31.2,69,,9.3,2,SE
25-12-2023,28.5,80,0,8.6,2,NW
26-12-2023,29.9,74,37.1,2,2,NW
27-12-2023,30.6,72,0,7,2,NE
28-12-2023,30.6,75,0,8,2,E 
29-12-2023,30.8,74,8888,5.5,3,SE
30-12-2023,30.6,76,14.2,6.5,2,N 
31-12-2023,30.5,75,8888,7.7,2,N 
01-01-2024,30.2,77,0.2,6.8,2,NE
02-01-2024,30.9,72,0,4.7,2,N 
03-01-2024,27.9,87,0,7.3,2,E 
04-01-2024,29.5,77,6.7,0.2,2,NW
05-01-2024,29.8,75,8888,6.3,2,C 
06-01-2024,29.2,79,0,3.6,2,SE
07-01-2024,28.2,82,8888,1,2,N 
08-01-2024,29,79,8888,1.2,2,N 
09-01-2024,29.5,78,0,3.6,2,S 
10-01-2024,30.1,74,14.8,7.7,3,NW
11-01-2024,30.3,73,0,6.8,2,NW
12-01-2024,30.8,69,0,8.4,2,SE
13-01-2024,31.2,67,3,8.8,3,E 
14-01-2024,31.3,65,8888,7.8,3,N 
15-01-2024,29.2,77,0,7.5,2,S 
16-01-2024,29.5,77,8888,0.3,2,NW
17-01-2024,28.1,84,30.4,4.1,3,N 
18-01-2024,28.2,82,13,1,2,NW
