Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,25.6,79,,,1,SW
02-11-2023,26.4,72,3.5,5.9,1,S 
03-11-2023,26.2,78,,,1,S 
04-11-2023,26.2,78,0.5,,1,S 
05-11-2023,25.9,84,17.5,,1,S 
06-11-2023,26.9,80,,,1,S 
07-11-2023,26.7,76,,,1,S 
08-11-2023,27.2,71,,,1,S 
09-11-2023,26.8,78,,,1,S 
10-11-2023,27,73,0,6.3,1,SW
11-11-2023,24.9,85,0,5,1,S 
12-11-2023,24.3,91,27,,1,S 
13-11-2023,24.6,85,,,1,SE
14-11-2023,24.9,88,,,1,S 
15-11-2023,24.4,92,40,4.1,1,S 
16-11-2023,23.7,93,28.5,,1,NE
17-11-2023,26.3,78,4.5,0.6,1,S 
18-11-2023,27,66,,,1,S 
19-11-2023,25.7,76,0,8,1,S 
20-11-2023,25,81,,,1,S 
21-11-2023,24.4,86,1.9,2.9,1,S 
22-11-2023,26,83,,,1,S 
23-11-2023,25.4,88,,,0,S 
24-11-2023,24.8,88,1,,1,S 
25-11-2023,23.5,89,28.5,,1,E 
26-11-2023,25.9,80,40,0,1,S 
27-11-2023,25.6,79,0,4.3,1,S 
28-11-2023,23.4,92,,,1,SE
29-11-2023,24.5,88,49,,1,E 
30-11-2023,24,90,4.5,,2,S 
01-12-2023,22,96,,,0,N 
02-12-2023,24.4,86,,0,1,S 
03-12-2023,23.4,93,,,1,S 
04-12-2023,24.1,89,59.4,,1,SE
05-12-2023,25.3,85,,,1,S 
06-12-2023,25.7,84,10.5,3.6,1,S 
07-12-2023,25.4,84,0,4.1,1,S 
08-12-2023,24.4,86,,,1,NE
09-12-2023,26.2,79,52.5,,1,SW
10-12-2023,24.3,88,12.5,4.9,0,S 
11-12-2023,26,80,0,0,1,S 
12-12-2023,26,76,,,1,S 
13-12-2023,25.7,72,0,,1,NE
14-12-2023,25.3,82,0,,1,S 
15-12-2023,26.5,69,,,1,S 
16-12-2023,26.6,73,0,7.5,1,S 
17-12-2023,25.8,78,,,1,S 
18-12-2023,25.8,82,,,1,S 
19-12-2023,26.1,68,0,,1,S 
20-12-2023,25.8,66,,,1,S 
21-12-2023,26.9,64,0,6.8,2,S 
22-12-2023,27.5,66,,,1,S 
23-12-2023,26.8,68,0,,1,S 
24-12-2023,27.3,70,1,,1,S 
25-12-2023,26.6,71,,,1,NE
26-12-2023,26.9,68,,,1,N 
27-12-2023,26.3,76,1.5,,1,S 
28-12-2023,24.8,86,9,,1,S 
29-12-2023,26.2,82,58,,1,S 
30-12-2023,25.6,85,,,1,S 
31-12-2023,24.3,89,9,3.7,1,E 
01-01-2024,26.1,83,156,,1,S 
02-01-2024,26.4,86,40.5,,1,S 
03-01-2024,24.9,90,,,1,S 
04-01-2024,23.9,90,,,1,NW
05-01-2024,24.4,89,20.2,1.8,1,S 
06-01-2024,24,89,34.5,2,1,NE
07-01-2024,25.2,83,11.5,,0,S 
08-01-2024,24.9,88,2,2.1,1,NW
09-01-2024,25,85,2,1.9,1,S 
10-01-2024,26.3,81,15.5,3.1,1,N 
11-01-2024,24.6,88,16,,1,S 
12-01-2024,25.9,78,41.5,,1,S 
13-01-2024,25.6,77,,,1,S 
14-01-2024,26.3,72,,,2,S 
15-01-2024,26,76,,,1,S 
16-01-2024,26.9,76,0,3.7,2,S 
17-01-2024,24.9,86,0,,1,S 
18-01-2024,23,90,,,1,S 
19-01-2024,22.8,94,,,1,E 
20-01-2024,24.9,83,39,0,1,S 
21-01-2024,24.4,87,4.5,3.5,1,S 
22-01-2024,24.7,89,37,,1,S 
23-01-2024,23,90,51,,1,SE
24-01-2024,24,87,,,1,S 
25-01-2024,25.9,79,,,1,S 
26-01-2024,24.7,86,,,1,S 
27-01-2024,26,80,42,,1,SE
28-01-2024,26.5,76,,,1,NE
29-01-2024,27,77,,,2,S 
30-01-2024,25.6,86,2.2,5.3,2,S 
31-01-2024,25.6,80,2,,1,S 
01-02-2024,26.5,72,18.5,,2,S 
02-02-2024,23.8,88,55.5,6.1,1,S 
03-02-2024,25.4,82,13,0.4,1,S 
04-02-2024,24,87,,,1,NE
05-02-2024,25.6,83,134.5,,2,S 
06-02-2024,24.2,88,,,1,S 
07-02-2024,23.7,81,,,2,S 
08-02-2024,26.2,75,,,1,S 
09-02-2024,25.6,85,0,6.4,1,S 
10-02-2024,23.6,90,0.3,3.2,0,S 
11-02-2024,25.8,79,,,1,S 
12-02-2024,25.2,84,11,5.3,1,S 
13-02-2024,27,74,,,1,S 
14-02-2024,26.6,80,6.5,,0,S 
15-02-2024,,,,,,
16-02-2024,26,82,,,1,NE
17-02-2024,26.3,83,,,1,S 
18-02-2024,25.2,80,9,6.7,1,SW
19-02-2024,25.4,80,39.4,5,1,S 
20-02-2024,26.2,80,,,1,E 
21-02-2024,,,,,,
22-02-2024,,,,,,
23-02-2024,26.1,80,,,1,S 
24-02-2024,26.5,80,29,0,1,E 
25-02-2024,24.5,88,0,2.2,1,NE
26-02-2024,25.8,78,44.5,,1,SW
27-02-2024,26.5,76,,,1,S 
28-02-2024,25.4,84,,,1,SW
29-02-2024,26.7,79,0,1.9,1,S 
01-03-2024,24.5,88,,,1,NE
02-03-2024,25.3,85,,,1,S 
03-03-2024,26.2,82,,,1,S 
04-03-2024,25.4,87,,,1,S 
05-03-2024,26,82,13,2.9,1,S 
06-03-2024,25.1,90,,,0,S 
07-03-2024,25.5,86,,,1,S 
08-03-2024,24.6,90,4.5,,1,SE
09-03-2024,22.9,92,,,0,NE
10-03-2024,25.3,82,,,1,S 
11-03-2024,26.2,77,,,1,SE
12-03-2024,26,78,,,1,S 
13-03-2024,25.6,84,,,1,S 
14-03-2024,25,82,,,0,S 
15-03-2024,26.2,78,17.8,1.6,1,SW
16-03-2024,25.6,80,,,3,S 
17-03-2024,24.9,84,,,1,S 
18-03-2024,25.7,74,,,0,S 
19-03-2024,26.5,72,,,1,S 
20-03-2024,26.4,72,0,7.5,2,S 
21-03-2024,26.6,71,0,,1,NE
22-03-2024,26.1,78,,,1,S 
23-03-2024,25.9,85,30,,0,S 
24-03-2024,26.3,80,,,1,NE
25-03-2024,25.2,87,3.2,6.1,1,S 
26-03-2024,24.8,85,,,1,NE
27-03-2024,23.6,88,,,1,NW
28-03-2024,24.1,88,,,1,S 
29-03-2024,25.1,84,,,1,NE
30-03-2024,26.5,84,38.5,3.9,1,S 
31-03-2024,25.2,87,,,1,W 
01-04-2024,24.6,90,,,1,SW
02-04-2024,25.2,89,,,1,S 
03-04-2024,25.2,90,,,0,S 
04-04-2024,26.3,86,,,1,SW
05-04-2024,,,,,,
06-04-2024,26.9,74,,,1,S 
07-04-2024,27.1,72,,,1,S 
08-04-2024,26.4,82,,,1,S 
09-04-2024,24.3,91,,,1,S 
10-04-2024,24.8,86,,,1,S 
11-04-2024,24.9,88,,,2,NE
12-04-2024,24.9,88,,,1,SE
13-04-2024,24.5,90,,,1,NW
14-04-2024,25.2,89,3.5,,1,SE
15-04-2024,26.5,80,20,,2,S 
