Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,29,80,0,9.2,2,SE
02-11-2023,28.8,80,0,10,2,SE
03-11-2023,28.9,82,0,9.5,2,SE
04-11-2023,28.2,85,0,7,3,SE
05-11-2023,27.9,86,4.4,8.5,2,SE
06-11-2023,28.1,85,24.2,7,2,SE
07-11-2023,28.4,82,0,8.8,2,SE
08-11-2023,28.7,80,0,9.4,2,S 
09-11-2023,28.6,81,,9.3,1,C 
10-11-2023,28.8,79,,9.3,2,S 
11-11-2023,28.2,80,0,9.5,2,SE
12-11-2023,27.3,86,27.5,3.9,2,SE
13-11-2023,28.1,86,5.4,2.7,2,E 
14-11-2023,27.5,88,3.5,8.5,2,SE
15-11-2023,25.8,90,130.6,2.2,1,C 
16-11-2023,27.2,89,27.4,1.6,1,C 
17-11-2023,27.8,84,1.5,3.3,2,SE
18-11-2023,28.4,79,0,8.2,2,SE
19-11-2023,27.9,82,3.7,9.4,2,SE
20-11-2023,27.8,83,,9.9,1,C 
21-11-2023,28.4,82,3,6,2,SE
22-11-2023,28.2,85,,8.2,2,C 
23-11-2023,28.1,88,26,5.8,2,SE
24-11-2023,28,87,4.3,0.2,1,C 
25-11-2023,28.2,83,2.5,2.5,1,C 
26-11-2023,28.2,83,0,4.3,1,C 
27-11-2023,28.4,79,,7.1,1,C 
28-11-2023,26.6,90,26.7,7.5,1,C 
29-11-2023,27.6,84,26.1,1.3,2,C 
30-11-2023,27.9,84,,3,1,SE
01-12-2023,24.3,95,2,5.5,1,C 
02-12-2023,26.8,86,53.6,0,1,C 
03-12-2023,27.3,84,,,1,C 
04-12-2023,27,85,14.4,2.2,1,C 
05-12-2023,27.6,86,8888,2.4,1,C 
06-12-2023,28.2,84,2.3,5.3,1,C 
07-12-2023,28.4,82,0,7.7,1,C 
08-12-2023,28.3,83,0,6,1,C 
09-12-2023,28.7,80,,3.1,1,C 
10-12-2023,27.8,85,0,6.8,1,C 
11-12-2023,28,81,3.6,3.2,2,C 
12-12-2023,28,79,,,1,C 
13-12-2023,28.5,78,,9.2,2,C 
14-12-2023,28.3,78,,8,1,C 
15-12-2023,28.3,76,0,7.7,1,W 
16-12-2023,28.6,76,,10.8,1,C 
17-12-2023,28.7,74,0,10.7,2,S 
18-12-2023,28.4,75,0,,2,SE
19-12-2023,28,74,,0,2,SE
20-12-2023,27.8,74,,10.8,1,C 
21-12-2023,28,76,0,11.9,1,C 
22-12-2023,28.4,75,,5.3,2,SE
23-12-2023,28.6,77,0,9.5,2,SE
24-12-2023,28.7,78,0,9,1,C 
25-12-2023,28.8,76,0,9.3,2,W 
26-12-2023,29.5,74,0,6.7,2,SE
27-12-2023,29.8,73,0,10.2,1,C 
28-12-2023,28.9,80,0,8,2,SE
29-12-2023,29,83,,2.3,2,SE
30-12-2023,28.7,84,11.8,5.3,1,S 
31-12-2023,27.4,89,2.7,5.5,2,C 
01-01-2024,28.5,85,28.5,2.8,2,S 
02-01-2024,28.9,83,13,6.7,1,C 
03-01-2024,27.6,84,,7.3,2,NW
04-01-2024,27.2,86,21.7,5.5,2,C 
05-01-2024,27.3,84,67,2.2,1,SE
06-01-2024,27.7,85,29.8,1.6,2,C 
07-01-2024,27.5,86,8888,4.2,1,C 
08-01-2024,27.9,86,0.9,5,2,NW
09-01-2024,28.7,83,0.3,5,1,C 
10-01-2024,28.2,84,0,0.5,1,C 
11-01-2024,28.4,83,1,3.5,1,C 
12-01-2024,29.1,80,17.7,4,1,C 
13-01-2024,29.1,78,0,8.4,1,C 
14-01-2024,29.2,77,0.5,5,1,C 
15-01-2024,29.4,78,0,7.2,1,S 
16-01-2024,29.2,78,0,6.5,2,SW
17-01-2024,28.8,78,0,10,3,W 
18-01-2024,25.8,92,,3.2,2,SW
19-01-2024,26.7,85,94.4,0,3,W 
20-01-2024,28.5,78,40.6,2.4,3,W 
21-01-2024,28.5,80,1.2,10,3,W 
22-01-2024,29.1,76,5.3,8.3,3,W 
23-01-2024,27.4,86,1.5,10,2,W 
24-01-2024,27.8,83,8.7,1.7,2,C 
25-01-2024,29,78,1.7,4.5,2,SW
26-01-2024,28.9,78,0,8.5,2,W 
27-01-2024,27.2,85,0,9,1,C 
28-01-2024,27.7,84,15.6,4.3,1,E 
29-01-2024,27.9,85,53.8,7.1,2,E 
30-01-2024,27.3,84,27.9,4.2,1,C 
31-01-2024,27.4,86,13.2,5.5,1,C 
