Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,31.6,64,0,8.7,2,C 
02-11-2023,32.2,61,0,6.7,2,N 
03-11-2023,31.5,63,0,9.9,3,C 
04-11-2023,30,74,2.1,8.8,2,C 
05-11-2023,31.2,69,2.8,5.8,2,C 
06-11-2023,31.6,68,0,7.3,2,W 
07-11-2023,31.8,61,0,9.5,2,C 
08-11-2023,31.7,66,0,9.1,2,N 
09-11-2023,30.4,70,0,10.2,2,C 
10-11-2023,30.4,72,10,8,2,C 
11-11-2023,30.8,70,2.4,8.3,2,C 
12-11-2023,31.6,64,6.4,8.6,2,C 
13-11-2023,31.2,69,2.6,8.4,2,N 
14-11-2023,30.9,70,0.6,6.8,3,E 
15-11-2023,30.9,71,23,5,1,C 
16-11-2023,30.8,73,0,8.6,1,C 
17-11-2023,30.8,74,22.5,6.1,2,C 
18-11-2023,31.9,65,0,6.8,1,N 
19-11-2023,31.6,62,0,8.6,2,N 
20-11-2023,31.5,67,0,8.6,2,W 
21-11-2023,31.4,70,29.7,10.1,2,C 
22-11-2023,31.9,65,3.4,8.9,2,C 
23-11-2023,29.3,84,27.4,9,1,C 
24-11-2023,29.4,80,,0,2,C 
25-11-2023,28.3,82,38,6.1,2,C 
26-11-2023,29.8,74,0.6,,2,C 
27-11-2023,30,73,0,6.7,3,N 
28-11-2023,28.6,82,34.9,4.4,1,C 
29-11-2023,30,71,0,0.4,2,C 
30-11-2023,30.6,72,10.4,1.7,2,C 
01-12-2023,26.1,91,0.2,7,1,C 
02-12-2023,29,80,51,0,1,C 
03-12-2023,29.2,79,2.8,4.8,2,C 
04-12-2023,28.8,79,67,6.7,2,N 
05-12-2023,29.6,77,7.2,2.9,1,C 
06-12-2023,29.6,78,3.9,8.5,1,C 
07-12-2023,29.9,76,0,4.9,2,W 
08-12-2023,29.8,75,0.6,4.7,2,C 
09-12-2023,30,77,0,6.2,1,C 
10-12-2023,28.5,82,0,,1,C 
11-12-2023,31,70,1,1,2,C 
12-12-2023,30.9,66,0,9.8,3,NW
13-12-2023,30.4,71,0,10.9,2,N 
14-12-2023,30.9,68,0,8.1,2,C 
15-12-2023,30.6,68,0,5.8,2,C 
16-12-2023,30.9,71,0,9.3,2,C 
17-12-2023,30.9,68,0,10.2,2,C 
18-12-2023,31.2,67,0,9.1,2,C 
19-12-2023,30.9,65,0,8,2,C 
20-12-2023,30.5,66,0,8.4,1,C 
21-12-2023,30.5,65,0,9.1,2,C 
22-12-2023,31.2,66,0,10.1,2,C 
23-12-2023,31.8,62,1.5,10.2,2,C 
24-12-2023,31.2,68,0,10.5,2,C 
25-12-2023,28.4,80,6.2,9,1,C 
26-12-2023,29.8,70,8888,1,1,C 
27-12-2023,30.9,69,2.2,2.3,2,N 
28-12-2023,30.5,72,0.2,6.5,2,C 
29-12-2023,31.5,69,12.2,6.5,2,C 
30-12-2023,30,74,97.8,8.4,2,C 
31-12-2023,30,78,0,7,2,N 
01-01-2024,30.6,76,9.3,9.9,2,C 
02-01-2024,29.7,81,16,6,1,C 
03-01-2024,29.2,81,11,4.8,1,C 
04-01-2024,29.5,76,0.6,3.1,2,C 
05-01-2024,30.2,73,0,6.8,2,C 
06-01-2024,29.2,73,0,5.6,3,SE
07-01-2024,28.9,82,2,5,1,C 
08-01-2024,29,82,3.6,2,1,C 
09-01-2024,29.4,78,0,2.5,2,C 
10-01-2024,30,76,1,6.9,1,C 
11-01-2024,27.9,87,0,4.7,1,C 
12-01-2024,30,77,34.9,4.4,1,C 
13-01-2024,30.6,70,0,5.9,2,C 
14-01-2024,29.9,74,0,9,2,C 
15-01-2024,30,76,0,6.2,2,C 
16-01-2024,29.7,78,0.2,0.9,2,C 
17-01-2024,27.6,88,13.5,7.2,1,C 
18-01-2024,28.8,82,27.9,1.7,1,C 
19-01-2024,27.3,88,33.1,1.1,1,C 
20-01-2024,29.8,76,19.3,2.9,2,C 
21-01-2024,29.6,73,7.5,7.7,2,C 
22-01-2024,28.2,84,0,2.4,2,C 
23-01-2024,28.6,78,21.2,0.6,1,C 
24-01-2024,28.4,81,2.3,1,2,C 
25-01-2024,29.1,80,30,5.6,2,C 
26-01-2024,29.2,81,4.4,8,2,C 
27-01-2024,28.8,81,29.7,8.3,3,NW
28-01-2024,28.5,84,19.8,6.7,2,W 
29-01-2024,28.8,80,7.8,3.3,2,W 
30-01-2024,27.7,84,0.6,6.4,1,C 
31-01-2024,28.6,80,7.7,3.1,2,W 
01-02-2024,28.9,80,0,4.8,2,C 
02-02-2024,27.8,86,28.4,7,1,C 
03-02-2024,27.4,84,24.1,5.7,2,C 
04-02-2024,27.9,86,69.6,5.4,2,C 
05-02-2024,28.7,81,21.4,6.1,3,C 
06-02-2024,27.7,86,23.8,6.4,2,C 
07-02-2024,28.1,78,24.6,3.6,1,C 
08-02-2024,29.6,71,0,0,2,C 
09-02-2024,29.7,76,0,6,2,W 
10-02-2024,27.7,84,0.6,8.5,1,C 
11-02-2024,28.6,80,16.7,0,3,C 
12-02-2024,29.6,76,3.2,3.4,3,W 
13-02-2024,29.9,75,0,8.6,2,N 
